id;Ciudad;Región
1;São Paulo;Sudeste
2;Río de Janeiro;Sudeste
3;Brasilia;Centro-Oeste
4;Salvador;Nordeste
5;Fortaleza;Nordeste
6;Belo Horizonte;Sudeste
7;Manaus;Norte
8;Curitiba;Sur
9;Recife;Nordeste
10;Porto Alegre;Sur
11;Belém;Norte
12;Goiânia;Centro-Oeste
13;Guarulhos;Sudeste
14;Campinas;Sudeste
15;São Luís;Nordeste
16;São Gonçalo;Sudeste
17;Maceió;Nordeste
18;Duque de Caxias;Sudeste
19;Natal;Nordeste
20;Teresina;Nordeste
21;Campo Grande;Centro-Oeste
22;Osasco;Sudeste
23;João Pessoa;Nordeste
24;Santo André;Sudeste
25;Jaboatão dos Guararapes;Nordeste
26;Contagem;Sudeste
27;São José dos Campos;Sudeste
28;Uberlândia;Sudeste
29;Sorocaba;Sudeste
30;Ribeirão Preto;Sudeste
