,CodeN,Titulo,Area,Horas,DataInicio,DataFim,code_fina,costo
0,Beyy634,Estudo sobre o impacto das mudanças climáticas na biodiversidade da Amazônia,Meio Ambiente,390,20/7/2019,2/11/2019,B,21893
1,BaT2552,Análise da eficácia de novos tratamentos para doenças tropicais,Saúde,572,27/8/2020,17/9/2020,B,44973
2,Adaa3991,Desenvolvimento de tecnologias sustentáveis para a agricultura,Agricultura,1063,6/4/2021,26/9/2021,A,77942
3,CeT2796,Estudo sobre a influência da urbanização na qualidade do ar,Urbanização,1422,2/9/2022,18/10/2022,C,7946
4,Aacc251,Análise do impacto socioeconômico de políticas públicas na redução da pobreza,Economia,339,30/3/2021,30/5/2021,A,50649
5,Bevv4409,Estudo sobre a eficácia de programas de reciclagem em grandes cidades,Meio Ambiente,1225,11/7/2019,10/10/2019,B,29413
6,BaM4540,Análise da relação entre alimentação e doenças crônicas,Saúde,589,14/12/2022,22/4/2023,B,20302
7,AdO4205,Desenvolvimento de tecnologias para a produção de energia renovável,Energia,1237,29/3/2020,28/7/2020,A,68652
8,BeU3515,Estudo sobre o impacto do turismo na economia local,Economia,767,13/1/2020,11/6/2020,B,42581
9,Caab1326,Análise da influência da educação na mobilidade social,Educação,421,11/12/2022,17/1/2023,C,5122
10,CeR4773,Estudo sobre a relação entre transporte público e qualidade de vida,Urbanização,1125,11/12/2018,12/4/2019,C,2693
12,Adgg548,Desenvolvimento de tecnologias para a conservação da água,Recursos Hídricos,1039,2/10/2021,29/12/2021,A,81347
13,Aejj2286,Estudo sobre o impacto da globalização na cultura local,Cultura,1225,3/3/2018,9/4/2018,A,60893
14,AaC162,Análise da relação entre atividade física e saúde mental,Saúde,428,6/12/2021,17/3/2022,A,85152
15,BdV3036,Desenvolvimento de tecnologias para a agricultura familiar,Agricultura,1376,1/7/2020,14/12/2020,B,48573
16,Bess2894,Estudo sobre a influência da mídia na formação da opinião pública,Comunicação,1413,13/11/2022,18/1/2023,B,32225
17,Aavv322,Análise do impacto de programas de inclusão digital na educação,Educação,623,28/9/2019,5/11/2019,A,64356
18,Adhh1678,Desenvolvimento de tecnologias para a gestão de resíduos sólidos,Meio Ambiente,1450,21/7/2021,9/10/2021,A,94243
19,Cepp1098,Estudo sobre a relação entre desigualdade social e criminalidade,Sociologia,753,29/1/2018,27/6/2018,C,1986
20,Ball3513,Análise da eficácia de programas de prevenção ao uso de drogas,Saúde Pública,1496,14/4/2018,9/8/2018,B,42351
21,Bdkk3023,Desenvolvimento de tecnologias para a produção de alimentos orgânicos,Agricultura,518,20/1/2018,17/3/2018,B,36887
22,Bejj3876,Estudo sobre o impacto do envelhecimento populacional na economia,Demografia,924,14/9/2020,17/12/2020,B,39266
23,Caff4537,Análise da relação entre poluição sonora e qualidade de vida,Urbanização,432,6/11/2018,17/12/2018,C,5358
24,BdW938,Desenvolvimento de tecnologias para a mobilidade urbana sustentável,Transporte,1050,19/3/2021,8/4/2021,B,34863
25,BeX4263,Estudo sobre a eficácia de programas de incentivo à leitura,Educação,703,9/4/2021,7/8/2021,B,49904
26,Catt3588,Análise da relação entre poluição do ar e doenças respiratórias,Saúde,420,18/10/2022,27/12/2022,C,8251
27,Adkk2623,Desenvolvimento de tecnologias para a gestão de recursos hídricos,Recursos Hídricos,628,6/8/2018,29/9/2018,A,96783
28,Cett3919,Estudo sobre o impacto do comércio internacional na economia local,Economia,1043,4/11/2020,23/3/2021,C,6328
29,CaE4181,Análise da influência da tecnologia na comunicação interpessoal,Comunicação,838,1/10/2021,10/1/2022,C,7353
30,Cegg4595,Estudo sobre a relação entre mobilidade urbana e desenvolvimento econômico,Urbanização,969,29/9/2020,17/10/2020,C,7257
32,Cdjj1598,Desenvolvimento de tecnologias para a conservação da biodiversidade,Meio Ambiente,1012,2/9/2018,27/11/2018,C,1561
33,AeM88,Estudo sobre o impacto da indústria cultural na formação da identidade juvenil,Cultura,424,16/3/2019,26/4/2019,A,55548
34,Bass2873,Análise da relação entre estresse ocupacional e saúde mental,Saúde,1237,4/12/2022,26/2/2023,B,28829
