,Titulo,Area
0,As Transformações Climáticas e as Áreas Verdes Urbanas,Climatologia e Mudanças Ambientais
1,Ciência do Solo para a Agricultura Sustentável,Agronomia e Agricultura
2,O Impacto das Tecnologias na Indústria Automotiva,Engenharia Automotiva
3,O Uso de Drones para a Coleta de Dados Ambientais,Engenharia Ambiental
4,A Nanotecnologia e a Medicina Personalizada,Nanotecnologia e Medicina
5,A Utilização de Inteligência Artificial na Previsão de Desastres Naturais,Inteligência Artificial e Desastres Naturais
6,A Ciência do Envelhecimento e seus Benefícios para a Saúde,Gerontologia e Saúde
7,A Comunicação em Tempos de Tecnologia: A Evolução do Jornalismo,Comunicação e Tecnologia
8,A Importância do Estudo da Biologia Marinha para a Conservação Ambiental,Biologia Marinha e Conservação
9,Os Benefícios da Atividade Física na Saúde Mental,Psicologia e Saúde
10,A Biomecânica para a Melhoria de Performances de Atletas,Biomecânica Esportiva
11,A Inovação na Indústria da Moda: Sustentabilidade e Design,Moda Sustentável e Design
12,A Química Verde e a Indústria de Cosméticos,Química Verde e Cosméticos
13,O Papel da Engenharia Civil na Construção de Edifícios Eco-sustentáveis,Engenharia Sustentável
14,A Zoologia e a Preservação de Animais Ameaçados de Extinção,Zoologia e Preservação
15,O Estudo da Geologia para a Prevenção de Desastres Naturais,Geologia e Prevenção de Desastres
16,O Papel da Física na Engenharia Aeroespacial,Física e Engenharia Aeroespacial
17,A Biologia Celular e suas Implicações na Medicina,Biologia Celular e Medicina
18,A Pedagogia e a Inclusão de Pessoas com Deficiência,Pedagogia e Inclusão
19,A Microbiologia e seus Benefícios para a Indústria Alimentícia,Microbiologia e Indústria Alimentícia
20,A Engenharia de Alimentos e a Produção de Alimentos Saudáveis,Engenharia de Alimentos e Nutrição
21,A Bioquímica e a Pesquisa de Novos Medicamentos,Bioquímica e Pesquisa de Medicamentos
22,A Antropologia e a Compreensão das Diferenças Culturais,Antropologia e Diversidade Cultural
23,O Papel da Ecologia na Conservação da Biodiversidade,Ecologia e Conservação da Biodiversidade
24,A Matemática na Análise de Big Data,Matemática e Análise de Big Data
25,A História da Ciência e suas Implicações na Atualidade,História da Ciência e Atualidade
26,A Sociologia e suas Contribuições para Compreensão da Sociedade,Sociologia e Compreensão da Sociedade
0,Modelagem de sistemas climáticos globais,Ciências Atmosféricas
1,Modelagem de ciclos de nutrientes em ecossistemas terrestres,Ciências Ambientais
2,Estudo da biodiversidade em áreas protegidas,Biologia da Conservação
3,Análise de riscos em projetos de energia renovável,Engenharia de Energia
