code_projeto,titulo,area,horas,data_Inicio,data_Fim,code_financiamento,costo,code_regiao
Aaaa4244,"A análise do comportamento sísmico de estruturas de concreto armado","Engenharia civil",514,2018-09-25,2019-02-22,A,69860,1
Aaaa4721,"Análise da relação entre discriminação e saúde mental em pessoas LGBTQIA+","Saúde Mental",566,2018-11-30,2019-02-08,A,93408,5
AaC162,"Análise da relação entre atividade física e saúde mental",Saúde,428,2021-12-06,2022-03-17,A,85152,4
AaC2829,"Análise da poluição ambiental em áreas urbanas","Meio Ambiente",1407,2019-09-15,2020-01-11,A,54908,2
Aacc251,"Análise do impacto socioeconômico de políticas públicas na redução da pobreza",Economia,339,2021-03-30,2021-05-30,A,50649,1
Aaee682,"Aplicação de técnicas de SEO para otimização de sites",Tecnologia,811,2019-11-11,2019-12-30,A,68470,5
AaF2299,"Análise de comportamento animal",Biologia,1086,2021-08-10,2021-09-10,A,98968,5
Aaff1561,"Análise de práticas de ensino em escolas públicas",Educação,930,2021-06-07,2021-11-19,A,59385,3
Aaff1733,"Ação contra a mudança climática através do desenvolvimento de tecnologias verdes em áreas quilombolas","Mudança Climática",1292,2020-07-25,2020-09-05,A,68791,1
Aaff3976,"Análise da eficácia dos métodos de conservação de alimentos",Nutrição,688,2019-09-17,2019-11-16,A,62969,5
AaG1015,"Análise da relação entre educação e mobilidade social em comunidades carentes",Educação,1491,2020-02-03,2020-07-09,A,61595,1
Aaii4371,"Análise da eficácia de tratamentos contra o câncer",Oncologia,966,2018-10-15,2019-02-27,A,63000,4
AaJ3082,"Análise do impacto socioeconômico da urbanização",Sociologia,1455,2020-02-14,2020-07-09,A,90595,5
Aakk1012,"Análise da eficácia de programas de prevenção ao tabagismo","Saúde Pública",826,2019-06-26,2019-11-04,A,68982,4
Aakk3026,"Análise comparativa de frameworks web para desenvolvimento ágil",Tecnologia,888,2020-08-21,2020-10-05,A,92991,4
Aakk3248,"Aplicações de inteligência artificial",Tecnologia,1139,2022-09-23,2022-12-05,A,67244,2
AaM2343,"Análise de dados para análise de sentimentos em redes sociais",Tecnologia,612,2022-01-16,2022-06-20,A,90585,3
Aamm4744,"Análise do impacto de programas de microcrédito na redução da pobreza",Economia,1175,2018-12-02,2019-05-27,A,73840,1
AaO3754,"Análise de dados genéticos",Genética,338,2018-02-12,2018-04-01,A,84949,3
AaO4901,"Análise de dados para recomendação de produtos online",Tecnologia,1404,2021-07-01,2021-10-14,A,74851,5
AaP1608,"A recuperação de áreas desmatadas através de técnicas de plantio eucalipto",Agricultura,760,2019-01-08,2019-06-04,A,51626,3
Aapp2097,"Aplicação de modelos de previsão de epidemias usando deep learning",Epidemiologia,598,2022-06-26,2022-09-14,A,80142,4
AaQ3656,"Análise de dados genéticos",Genética,442,2019-04-30,2019-09-21,A,61912,1
AaQ514,"Análise de dados para prevenção de epidemias e pandemias",Epidemiologia,1335,2022-01-08,2022-03-13,A,62461,3
AaQ839,"Astronomia e Astrofísica",Astronomia,741,2021-12-25,2022-05-27,A,76905,1
AaR599,"A investigação de micro-organismos em solos para produção de biocombustíveis",Microbiologia,570,2021-10-03,2022-02-12,A,71846,3
Aarr1736,"Análise de dados de comportamento de mercado",Economia,1436,2020-05-17,2020-10-08,A,81597,5
AaS3820,"Análise de impactos ambientais na indústria","Engenharia Ambiental",888,2019-11-19,2020-01-13,A,63865,2
Aass1038,"Abelha robotizada",Tecnologia,1331,2018-05-27,2018-06-30,A,88651,2
Aass3700,"Análise de dados para avaliação de desempenho escolar",Tecnologia,1038,2022-10-20,2023-03-27,A,62431,2
AaT913,"Análise da dinâmica dos oceanos",Oceanografia,402,2019-11-05,2020-02-10,A,92051,1
Aatt3001,"Análise da dinâmica dos oceanos",Oceanografia,1407,2022-08-28,2022-11-20,A,78907,2
Aatt4708,"A transmissão de doenças pela água e medidas de prevenção","Engenharia ambiental",864,2018-10-25,2019-02-15,A,68608,5
Aavv2672,"Análise da relação entre migração e discriminação contra pessoas LGBTQIA+",Inclusão,828,2019-12-21,2020-05-02,A,52019,4
Aavv322,"Análise do impacto de programas de inclusão digital na educação",Educação,623,2019-09-28,2019-11-05,A,64356,3
Aaww4038,"Avaliação da efetividade de vacinas em prevenir doenças",Imunologia,824,2020-01-01,2020-03-03,A,96385,4
Aaww4171,"Análise de dados de impacto ambiental","Meio Ambiente",1012,2020-04-10,2020-06-17,A,78410,1
Aaww9,"Avaliação da efetividade de vacinas em prevenir doenças",Imunologia,906,2019-05-10,2019-10-15,A,82872,4
AaX422,"Análise da influência do clima na produtividade agrícola",Agricultura,1346,2020-03-17,2020-06-01,A,54451,5
AaX813,"Avaliação da usabilidade e acessibilidade de sites governamentais",Tecnologia,624,2018-01-02,2018-03-31,A,98351,5
Aaxx2062,"A revolução dos ossos",Tecnologia,491,2021-06-05,2021-08-01,A,58811,4
Aaxx2906,"Análise da relação entre agricultura sustentável e segurança alimentar","Agricultura Sustentável",1400,2020-11-19,2021-02-28,A,71685,3
AaY1046,"Análise de comportamento animal",Biologia,1372,2022-03-12,2022-07-26,A,55695,5
AaY3306,"Análise de impacto da poluição atmosférica na saúde humana","Saúde Pública",945,2022-11-07,2023-03-05,A,62797,4
AaY4234,"Análise da relação entre a poluição sonora e a saúde mental",Ecologia,1143,2018-11-08,2019-04-12,A,92216,4
AaZ3916,"Análise de dados para identificação de padrões climáticos",Tecnologia,364,2020-05-22,2020-08-03,A,95702,4
AbL1558,"Bioquímica e Fitoterapia",Bioquímica,591,2019-02-09,2019-04-13,A,98035,3
AbL3697,"Biomateriais para regeneração óssea",Medicina,701,2020-07-10,2020-10-06,A,83555,4
AbN3289,"Biologia Molecular e Engenharia Genética","Biologia Molecular",1320,2022-10-18,2023-03-22,A,66083,1
Abrr1615,"Biodiversity and Climate Change",Biologia,866,2019-01-30,2019-06-19,A,99539,2
AbV2733,"Bioremediation: Saving the Environment through Microbes",Microbiologia,319,2021-04-25,2021-07-30,A,92899,3
Acab3342,"Chatbot com inteligência artificial para atendimento ao cliente",Tecnologia,1114,2019-02-07,2019-06-01,A,58346,2
Acff451,"Conservação da biodiversidade terrestre e desenvolvimento do ecoturismo em áreas com alta concentração de migrantes",Ecoturismo,687,2018-01-05,2018-03-09,A,54349,5
Acii3384,"Cateterismo venoso com robôs e inteligência artificial",Tecnologia,682,2018-01-30,2018-06-11,A,90136,4
AcL1600,"Categorização de documentos através de palavra-chave com inteligência artificial",Tecnologia,1421,2021-07-28,2021-08-21,A,76869,2
Acll4148,"Conservação da biodiversidade marinha e costeira em áreas com alta concentração de migrantes","Conservação Marinha",1497,2020-12-05,2021-03-03,A,79680,5
AcO1056,"Criação de um jogo educativo na web com HTML5 e JavaScript",Tecnologia,543,2019-07-20,2019-09-03,A,62452,5
Acoo4337,"Comparação de frameworks web para desenvolvimento ágil",Tecnologia,1082,2020-06-15,2020-08-05,A,73728,4
